final_rank,priority_score,target_industry,content_topic,likely_search_question,main_keyword,supporting_evidence,cs_sharing_connection,recommended_channel,priority_reason,confidence_level
1,82.8,이커머스/쇼핑몰,교환·반품 문의가 늘어난 쇼핑몰이 CS 대행을 검토해야 하는 시점,쇼핑몰 교환·반품 문의가 많아졌을 때 CS 대행을 맡겨도 될까?,쇼핑몰 CS 대행,"채용공고 snapshot 기반 CS 수요 신호 31건; 뉴스 50건에서 환불, 반품, 배송, 민원 이슈 반복; 네이버 데이터랩 상대 트렌드 쇼핑몰 CS 대행: 최근3개월 20.69, 하락; Google Trends 상대 관심도에서 쇼핑몰 CS, 환불, 교환, 배송조회 축이 강함","고객센터 운영 대행, 반복 문의 응대, AI VOC",네이버 블로그/SEO,"즉시 발행 후보: 산업 수요 신호, 이슈성, CS쉐어링 연결성을 함께 고려했을 때 콘텐츠화 가능성이 높음.",High
2,80.0,공통/AI·CX,AI 상담을 도입해도 상담원이 필요한 이유: AICC와 운영 설계의 빈틈,AI 챗봇이나 AICC를 도입하면 고객센터 인력이 줄어들까?,AI 상담,"네이버 데이터랩 상대 트렌드 AI 상담: 최근3개월 44.91, 완만 하락; Google Trends와 자사 채널에서 AI 상담, AICC, AI CX 반응 신호 확인","AI 상담 솔루션, 상담원 운영, 예외 문의 처리, AI VOC",네이버 블로그 + 인스타 카드뉴스,즉시 발행 후보: 산업 특정성은 낮지만 자사 채널 반응과 서비스 연결성이 강해 리드 전환형/교육형 콘텐츠로 적합.,High
3,79.8,이커머스/쇼핑몰,배송조회·환불 문의가 쇼핑몰 CS를 마비시키는 이유와 분류법,배송조회와 환불 문의가 많을 때 쇼핑몰 고객센터를 어떻게 정리해야 할까?,쇼핑몰 고객센터 운영,"채용공고 snapshot 기반 CS 수요 신호 31건; 뉴스 50건에서 환불, 반품, 배송, 민원 이슈 반복; 네이버 데이터랩 상대 트렌드 쇼핑몰 고객센터 운영: 최근3개월 0.00, 데이터 없음; Google Trends 상대 관심도에서 쇼핑몰 CS, 환불, 교환, 배송조회 축이 강함","문의 유형 분류, FAQ 개선, 상담 운영 대행",네이버 블로그/SEO,"상위 실험 후보: 산업 수요 신호, 이슈성, CS쉐어링 연결성을 함께 고려했을 때 콘텐츠화 가능성이 높음.",High
4,79.0,공통/운영,채널톡·상담톡을 도입한 뒤에도 CS 운영이 막히는 이유,상담툴을 쓰고 있는데도 고객 문의 처리가 밀리는 이유는 뭘까?,고객센터 운영 효율화,"자사 채널에서 CS운영, CS품질, 고객응대, 고객센터운영 반응 신호 확인","상담툴 이후 운영 대행, 프로세스 설계, 상담 품질 관리",네이버 블로그/SEO,상위 실험 후보: 산업 특정성은 낮지만 자사 채널 반응과 서비스 연결성이 강해 리드 전환형/교육형 콘텐츠로 적합.,High
5,78.0,공통/중소기업,"중소기업 고객센터 운영, 직접 채용과 CS 대행 비용을 비교하는 법",중소기업이 CS 담당자를 뽑는 것과 CS 대행을 쓰는 것 중 뭐가 나을까?,CS아웃소싱 비용,"자사 채널에서 CS아웃소싱 비용, CS대행, 고객센터운영 반응 신호 확인","CS 대행 비용 구조, 운영 리스크, 상담 품질 관리",네이버 블로그/전환형 SEO,상위 실험 후보: 산업 특정성은 낮지만 자사 채널 반응과 서비스 연결성이 강해 리드 전환형/교육형 콘텐츠로 적합.,High
6,78.0,공통/운영,CS 품질 관리를 시작하는 중소기업을 위한 상담 QA 체크리스트,고객응대 품질을 높이려면 어떤 상담 기준을 봐야 할까?,CS 품질,"자사 채널에서 CS운영, CS품질, 고객응대, 고객센터운영 반응 신호 확인","상담 QA, 고객응대 매뉴얼, 품질 리포트",네이버 블로그 + 인스타 저장형 카드뉴스,상위 실험 후보: 산업 특정성은 낮지만 자사 채널 반응과 서비스 연결성이 강해 리드 전환형/교육형 콘텐츠로 적합.,High
7,77.8,이커머스/쇼핑몰,쇼핑몰 VOC를 콘텐츠와 운영 개선으로 연결하는 방법,쇼핑몰 고객 불만을 VOC로 모으면 어떤 개선 포인트가 보일까?,쇼핑몰 VOC 분석,"채용공고 snapshot 기반 CS 수요 신호 31건; 뉴스 50건에서 환불, 반품, 배송, 민원 이슈 반복; 네이버 데이터랩 상대 트렌드 쇼핑몰 VOC 분석: 최근3개월 0.00, 데이터 없음; Google Trends 상대 관심도에서 쇼핑몰 CS, 환불, 교환, 배송조회 축이 강함","AI VOC 분석, 문의 유형 리포트, 상담 품질 관리",네이버 블로그/리포트형 콘텐츠,"상위 실험 후보: 산업 수요 신호, 이슈성, CS쉐어링 연결성을 함께 고려했을 때 콘텐츠화 가능성이 높음.",Medium-High
8,75.0,병원/헬스케어,예약·시술 문의가 몰리는 병원 CS센터 운영법,예약 문의가 몰릴 때 병원 고객센터를 외주화해도 될까?,병원 고객센터,"채용공고 snapshot 기반 CS 수요 신호 28건; 뉴스 46건에서 상담, 문의, 예약, 민원 이슈 반복; 네이버 데이터랩 상대 트렌드 병원 고객센터: 최근3개월 10.34, 상승; 데이터랩 상대 트렌드에서 병원 예약 상담과 병원 고객센터 신호 확인","예약 문의 응대, 상담 품질 관리, 고객센터 운영 대행",네이버 블로그/SEO,"상위 실험 후보: 산업 수요 신호, 이슈성, CS쉐어링 연결성을 함께 고려했을 때 콘텐츠화 가능성이 높음.",High
9,73.2,렌탈/구독/AS,렌탈·구독 서비스 AS 접수와 해지 문의가 늘 때 고객센터를 정비하는 법,렌탈 AS 접수와 해지 문의가 늘면 고객센터를 어떻게 운영해야 할까?,렌탈 고객센터,"채용공고 snapshot 기반 CS 수요 신호 34건; 뉴스 43건에서 AS, 민원, 해지, 고객센터 이슈 반복; 네이버 데이터랩 상대 트렌드 렌탈 고객센터: 최근3개월 0.00, 데이터 없음; 뉴스에서 AS, 민원, 해지, 고객센터 표현이 반복됨","AS 접수 대행, 해지 문의 응대, 상담 이력 관리",네이버 블로그/SEO,"상위 실험 후보: 산업 수요 신호, 이슈성, CS쉐어링 연결성을 함께 고려했을 때 콘텐츠화 가능성이 높음.",High
10,73.2,렌탈/구독/AS,구독 해지 문의를 VOC로 분석해 이탈을 줄이는 방법,구독 해지 문의를 분석하면 고객 이탈을 줄일 수 있을까?,구독 서비스 VOC,"채용공고 snapshot 기반 CS 수요 신호 34건; 뉴스 43건에서 AS, 민원, 해지, 고객센터 이슈 반복; 네이버 데이터랩 상대 트렌드 구독 서비스 VOC: 최근3개월 0.00, 데이터 없음; 뉴스에서 AS, 민원, 해지, 고객센터 표현이 반복됨","AI VOC, 해지 사유 분석, 상담 스크립트 개선",네이버 블로그/리포트형 콘텐츠,"상위 실험 후보: 산업 수요 신호, 이슈성, CS쉐어링 연결성을 함께 고려했을 때 콘텐츠화 가능성이 높음.",Medium-High
